#ssr105
time, distance, theta, 
19.5754, 0.304014, -0.482147, 
19.6115, 0.318365, -0.521853, 
20.2154, 1.28517, 0.209876, 
20.3036, 0.994486, 0.164497, 
20.3427, 0.895187, 0.136136, 
20.4429, 0.99519, 0.130463, 
20.4789, 0.995456, 0.119119, 
20.5828, 0.996397, 0.0850848, 
20.6865, 0.996776, 0.0737402, 
20.7901, 0.996776, 0.0737402, 
20.8242, 0.997204, 0.0623955, 
20.8599, 0.997698, 0.0510509, 
20.9634, 0.999024, 0.0283616, 
21.0683, 1.00189, 0.00567232, 
21.1716, 1.00189, 0.00567232, 
21.2103, 1.12681, -0.0113446, 
21.3112, 1.00005, -0.017017, 
21.4183, 0.999024, -0.0283616, 
21.5196, 0.999024, -0.0283616, 
21.6227, 0.999024, -0.0283616, 
21.6574, 0.998286, -0.0397062, 
21.7051, 0.999024, -0.0283616, 
21.7955, 0.999024, -0.0283616, 
21.8334, 1.00005, -0.017017, 
21.9348, 1.00005, -0.017017, 
21.9726, 1.00189, 0.00567232, 
22.0745, 1.00005, 0.017017, 
22.1771, 0.899609, 0.0226893, 
22.2124, 0.856674, 0.0255254, 
22.2488, 0.898101, 0.0453786, 
22.3529, 0.897565, 0.0567232, 
22.4575, 0.996776, 0.0737402, 
22.56, 0.896705, 0.0794125, 
22.5954, 0.996055, 0.0964294, 
22.6981, 0.896345, 0.0907571, 
22.7361, 0.895721, 0.113446, 
22.8388, 0.994941, 0.141808, 
22.9405, 0.994941, 0.141808, 
22.9762, 0.894946, 0.14748, 
23.0122, 0.994707, 0.153153, 
23.1158, 0.994707, 0.153153, 
23.1513, 0.994277, 0.175842, 
23.2542, 0.994277, 0.175842, 
23.2917, 1.12001, 0.192859, 
23.3931, 0.993888, 0.198531, 
23.4281, 0.993707, 0.209876, 
23.5304, 1.11965, 0.215548, 
23.5682, 0.993533, 0.22122, 
23.6718, 1.11932, 0.238237, 
23.7741, 1.11932, 0.238237, 
23.8085, 0.993205, 0.24391, 
23.8468, 0.99305, 0.255254, 
23.948, 0.99305, 0.255254, 
23.9905, 0.9929, 0.266599, 
24.0881, 0.893098, 0.260927, 
24.1939, 0.892951, 0.272271, 
24.2958, 0.992755, 0.277944, 
24.3984, 0.892808, 0.283616, 
24.4339, 0.892951, 0.272271, 
24.4681, 0.993205, 0.24391, 
24.5763, 0.893743, 0.215548, 
24.6776, 0.8943, 0.181514, 
24.782, 0.895187, 0.136136, 
24.8862, 0.896019, 0.102102, 
24.9898, 0.815392, 0.0737402, 
25.095, 0.898101, 0.0453786, 
25.1984, 0.90875, 0, 
25.3026, 0.816902, -0.0397062, 
25.4048, 0.816314, -0.0510509, 
25.4402, 0.81582, -0.0623955, 
25.4747, 0.815013, -0.0850848, 
25.581, 0.814072, -0.119119, 
25.6838, 0.74539, -0.14748, 
25.7874, 0.745163, -0.158825, 
25.823, 0.812694, -0.187187, 
25.9264, 0.74455, -0.192859, 
25.9623, 0.744364, -0.204204, 
25.998, 0.811982, -0.232565, 
26.1011, 0.743852, -0.238237, 
26.2035, 0.685919, -0.24391, 
26.2377, 0.743852, -0.238237, 
26.2727, 0.743852, -0.238237, 
26.3762, 0.743852, -0.238237, 
26.4127, 0.635921, -0.249582, 
26.5181, 0.685329, -0.289288, 
26.6205, 0.685193, -0.300633, 
26.6551, 0.635075, -0.31765, 
26.6942, 0.658641, -0.365865, 
26.7956, 0.633938, -0.431096, 
26.8993, 0.5898, -0.493492, 
27.0037, 0.589363, -0.550215, 
27.1073, 0.550501, -0.601266, 
27.2119, 0.568851, -0.649481, 
27.3138, 0.588373, -0.697695, 
27.4191, 0.588101, -0.743074, 
27.5222, 0.631548, -0.771436, 
27.6261, 0.631421, -0.794125, 
27.6615, 0.631421, -0.794125, 
27.697, 0.631421, -0.794125, 
27.8009, 0.631421, -0.794125, 
27.909, 0.631421, -0.794125, 
28.0088, 0.631421, -0.794125, 
28.0451, 0.681437, -0.777108, 
28.1469, 0.631548, -0.771436, 
28.1869, 0.655877, -0.728893, 
28.2878, 0.63238, -0.6353, 
28.3938, 0.740874, -0.533198, 
28.4942, 0.633365, -0.499164, 
28.5338, 0.684119, -0.402735, 
28.6342, 0.634825, -0.340339, 
28.7374, 0.685193, -0.300633, 
28.8423, 0.685614, -0.266599, 
28.9467, 0.811982, -0.232565, 
29.051, 0.74455, -0.192859, 
29.1549, 0.74539, -0.14748, 
29.2583, 0.745631, -0.136136, 
29.2929, 0.745888, -0.124791, 
29.3311, 0.746463, -0.102102, 
29.4312, 0.746463, -0.102102, 
