#ssr105
time, vl, vr, 
0, -62, -62, 
0.101123, -62, -62, 
0.163569, -62, -62, 
0.231857, -62, -62, 
0.264685, -62, -62, 
0.302143, -62, -62, 
0.334987, -62, -62, 
0.369537, -62, -62, 
0.409035, 13.9331, 19.3142, 
0.439028, -18.3462, 25.5899, 
0.473752, -20.3947, 29.9832, 
0.508626, -20.711, 32.6148, 
0.544375, -20.2028, 34.6552, 
0.579849, -19.336, 36.1421, 
0.612098, -18.5018, 37.4685, 
0.647207, -17.6049, 38.6335, 
0.681729, -16.7316, 39.7165, 
0.71844, -15.707, 40.7205, 
0.752383, -14.6993, 41.538, 
0.78836, -13.68, 42.3876, 
0.820596, -12.6545, 43.1942, 
0.855127, -11.6818, 43.9056, 
0.890262, -10.6574, 44.5537, 
0.925847, -9.67323, 45.2038, 
0.959534, -8.78733, 45.81, 
0.993197, -8.03418, 46.2768, 
1.02992, 7.18143, 46.727, 
1.06389, -6.26772, 47.2153, 
1.09962, -5.46057, 47.5954, 
1.13448, -4.71151, 47.9635, 
1.16729, -3.82193, 48.3371, 
1.20211, -2.92309, 48.7348, 
1.23694, -2.29483, 48.8892, 
1.27372, -1.29813, 49.2184, 
1.30885, -0.514915, 49.417, 
1.34074, 0.130285, 49.5288, 
1.37574, 0.89527, 49.6951, 
1.41038, 1.61653, 49.8633, 
1.44758, 2.35496, 50.0469, 
1.47993, 2.96629, 50.2077, 
1.51531, 3.52167, 50.3408, 
1.54941, 3.95394, 50.426, 
1.58367, 4.37059, 50.5117, 
1.6201, 4.79545, 50.6025, 
1.65387, 5.06225, 50.5707, 
1.68806, -5.32224, 50.5407, 
1.72496, -5.47598, 50.3921, 
1.75751, -5.47946, 50.1912, 
1.80405, -5.52895, 49.8815, 
1.82806, -5.6749, 49.7641, 
1.86376, 5.66962, 49.4022, 
1.90072, -5.66699, 49.0381, 
1.93282, 5.66685, 48.7317, 
1.96651, 5.70119, 48.4715, 
2.00036, -5.70347, 48.1638, 
2.03613, -5.7078, 47.8478, 
2.07014, -5.71358, 47.5562, 
2.10419, -5.72085, 47.2726, 
2.14022, -5.7615, 46.958, 
2.17419, 5.83012, 46.6483, 
2.20886, 5.89973, 46.3411, 
2.24397, 5.96968, 46.0389, 
2.27924, 5.91571, 45.6845, 
2.31628, 5.74952, 45.2653, 
2.34739, 5.82191, 45.0252, 
2.38193, 5.67486, 44.6526, 
2.41805, -5.52884, 44.2738, 
2.45134, -62, 62, 
2.4889, -62, 62, 
2.5211, 5.36174, 43.8698, 
2.5568, 5.20952, 43.4152, 
2.59024, 5.0854, 42.942, 
2.62487, 4.9658, 42.4638, 
2.66463, 4.79919, 41.9001, 
2.69448, 4.7128, 41.5109, 
2.72952, 4.56131, 41.0555, 
2.76504, 4.35533, 40.5585, 
2.79931, 4.16799, 40.092, 
2.83581, 3.90403, 39.58, 
2.86846, 3.6802, 39.135, 
2.90322, 3.43008, 38.6543, 
2.93851, 3.16671, 38.1613, 
2.97217, -62, 62, 
3.00968, -62, 62, 
3.04221, -62, 62, 
3.07733, 2.88203, 37.62, 
3.11114, 2.60555, 37.0532, 
3.14605, 2.46407, 36.46, 
3.18354, 2.25679, 35.8108, 
3.21561, 2.09395, 35.2685, 
3.25211, 1.92326, 34.6623, 
3.28503, 1.7647, 34.1214, 
3.32356, 1.57473, 33.4931, 
3.35504, -62, -62, 
3.38789, -62, 62, 
3.42449, -62, 62, 
3.45808, -62, 62, 
3.49379, -62, 62, 
3.52973, -62, 62, 
3.56496, -62, 62, 
3.59665, -62, 62, 
3.63203, -62, 62, 
3.6681, -62, 62, 
3.70257, -62, -62, 
3.73771, -62, -62, 
3.77124, -62, 62, 
3.80499, -62, 61.9999, 
3.84108, -62, 62, 
3.87655, -62, 62, 
3.91073, -62, 62, 
3.94295, -62, 62, 
3.97974, -62, 62, 
4.01276, -62, 62, 
4.04901, -62, 62, 
4.08296, -62, 62, 
4.11682, -62, 62, 
4.15226, -62, 62, 
4.18563, -62, 62, 
4.2231, -62, 62, 
4.2566, -62, 62, 
4.29021, -62, 62, 
4.32675, -62, 62, 
4.35945, -62, 62, 
4.39609, -62, 62, 
4.42959, -62, 62, 
4.46437, -62, 62, 
4.50099, -62, 62, 
4.53284, -62, 62, 
4.5691, -62, 62, 
4.60303, -62, 62, 
4.63728, -62, 62, 
4.67345, -62, 62, 
4.70671, -62, 62, 
4.74602, -62, 62, 
4.77571, -62, 62, 
4.81024, -62, 62, 
4.84752, -62, 62, 
4.87989, -62, 62, 
4.91771, -62, 62, 
4.94946, -62, 62, 
4.98388, -62, 62, 
5.01923, -4.86138, 33.3504, 
5.05341, 7.9199, 33.2227, 
5.0929, 11.3038, 33.1032, 
5.12352, 13.6715, 33.1667, 
5.15948, 16.2154, 33.3917, 
5.19238, 17.6187, 34.4164, 
5.22719, 19.7695, 34.766, 
5.26391, 21.2492, 35.8233, 
5.29687, 22.436, 36.8246, 
5.33201, 23.6526, 37.8638, 
5.36612, 24.8623, 38.7732, 
5.40125, 25.9955, 39.7429, 
5.4375, 27.1187, 40.7133, 
5.46973, 28.1035, 41.5243, 
5.50632, 29.1953, 42.4074, 
5.53939, 30.1286, 43.1925, 
5.57431, 31.0514, 44.0215, 
5.61104, 32.0133, 44.8407, 
5.64385, 32.8146, 45.5698, 
5.68175, 33.7081, 46.3859, 
5.71341, 34.425, 47.0429, 
5.74909, 35.2309, 47.7391, 
5.7842, 35.9936, 48.4013, 
5.81712, 36.6824, 49.002, 
5.85321, 37.4111, 49.6401, 
5.88645, 38.0569, 50.2079, 
5.92172, 38.7183, 50.7914, 
5.95744, 39.3635, 51.3626, 
5.99051, 39.9385, 51.8732, 
6.0256, 40.528, 52.3981, 
6.06016, 41.0872, 52.8974, 
6.09579, 41.6433, 53.3952, 
6.13117, 42.1752, 53.8724, 
6.16415, 42.653, 54.302, 
6.19921, 43.1436, 54.7441, 
6.23344, 43.585, 55.1781, 
6.27129, 44.0563, 55.6418, 
6.30459, 44.4552, 56.0343, 
6.33765, 44.8192, 56.4277, 
6.37581, 45.2473, 56.8476, 
6.40812, 45.5678, 57.2126, 
6.44263, 45.9085, 57.5806, 
6.4784, 46.2403, 57.9581, 
6.51381, 46.5664, 58.3088, 
6.54569, 46.8499, 58.6134, 
6.58101, 47.154, 58.9399, 
6.6184, 47.4647, 59.2732, 
6.65247, 47.7374, 59.5655, 
6.68626, 47.9778, -59.8583, 
6.72067, 48.2357, 60.1331, 
6.75459, 48.4814, 60.3946, 
6.79056, 48.6458, 60.7353, 
6.8258, 48.8108, 61.048, 
6.86169, 48.9515, 61.3674, 
6.89467, 49.0767, 61.6497, 
6.92882, 49.2027, 61.9319, 
6.96458, 49.3308, 62.2166, 
6.9993, 49.4274, 62.492, 
7.0337, 62, -62, 
7.06772, 49.5194, -62.7518, 
7.10413, 49.6151, 63.0199, 
7.13645, 49.6143, 63.3199, 
7.17463, 49.4609, 63.7588, 
7.20581, 49.3416, 64.1024, 
7.24029, 49.215, 64.4693, 
