#ssr105
time, distance, theta, 
0, 0.5898, 0.493492, 
0.381083, 0.634145, 0.408407, 
0.488184, 0.634587, 0.363028, 
0.590429, 0.684685, 0.346012, 
0.629935, 0.685469, 0.277944, 
0.730072, 0.635921, 0.249582, 
0.765352, 0.636242, 0.226893, 
0.80176, 0.63697, 0.181514, 
0.904194, 0.687201, 0.164497, 
0.938593, 0.687655, 0.141808, 
0.976785, 0.688458, 0.107774, 
1.0763, 0.639016, 0.0907571, 
1.11181, 0.68949, 0.0737402, 
1.15088, 0.741514, 0.453786, 
1.25083, 0.741514, 0.453786, 
1.35553, 0.683709, 0.448113, 
1.38886, 0.741612, 0.442441, 
1.42679, 0.741815, 0.419752, 
1.52848, 0.684119, 0.402735, 
1.56629, 0.742247, 0.374373, 
1.66749, 0.68445, 0.368701, 
1.70475, 0.684566, 0.357356, 
1.8078, 0.684807, 0.334667, 
1.91083, 0.634948, 0.328995, 
1.947, 0.63534, 0.294961, 
2.05024, 0.592083, 0.266599, 
2.15338, 0.592233, 0.255254, 
2.19227, 0.554482, 0.204204, 
2.29347, 0.490213, 0.158825, 
2.39735, 0.46326, 0.119119, 
2.50247, 0.439098, 0.0794125, 
2.60475, 0.418431, 0.0283616, 
2.7077, 0.39767, 0.0226893, 
2.74307, 0.398963, 0.0113446, 
2.77858, 0.359125, -0.0340339, 
2.88227, 0.341947, -0.0397062, 
2.91818, 0.309703, -0.0850848, 
3.01999, 0.295782, -0.0907571, 
3.55749, 0.991195, 0.425424, 
3.64616, 1.11669, 0.48782, 
3.75231, 1.11708, 0.442441, 
3.85602, 0.938745, 0.405571, 
3.96018, 0.991623, 0.380045, 
4.06114, 0.991736, 0.368701, 
4.09954, 0.992092, 0.334667, 
4.70389, 2, 0, 
4.78982, 2, 0, 
4.82627, 2, 0, 
4.93045, 2, 0, 
5.03286, 2, 0, 
5.06723, 2, 0, 
5.102, 2, 0, 
5.70628, 2, 0, 
5.79585, 2, 0, 
5.8326, 2, 0, 
5.93582, 2, 0, 
5.97125, 2, 0, 
6.07475, 2, 0, 
6.11158, 2, 0, 
6.2128, 2, 0, 
6.24891, 2, 0, 
6.35288, 2, 0, 
6.39147, 2, 0, 
6.49195, 2, 0, 
6.59477, 2, 0, 
6.69898, 2, 0, 
6.73441, 2, 0, 
6.77031, 2, 0, 
6.8733, 2, 0, 
6.91118, 2, 0, 
7.0118, 2, 0, 
7.11547, 2, 0, 
7.15002, 2, 0, 
7.19078, 2, 0, 
7.28837, 2, 0, 
7.32613, 2, 0, 
7.42735, 2, 0, 
7.53101, 2, 0, 
7.63643, 2, 0, 
7.67078, 2, 0, 
7.77523, 2, 0, 
7.80919, 2, 0, 
7.84879, 2, 0, 
7.94914, 2, 0, 
7.98474, 2, 0, 
8.08849, 2, 0, 
8.19168, 2, 0, 
8.23011, 2, 0, 
8.33049, 2, 0, 
8.36583, 2, 0, 
8.40205, 2, 0, 
8.50419, 2, 0, 
8.54451, 2, 0, 
8.64463, 2, 0, 
8.74592, 2, 0, 
