#ssr105
time, vl, vr, 
0, -5.25851, 13.7938, 
0.105803, -4.69404, -18.4049, 
0.138096, -4.29811, -19.4215, 
0.184863, -3.80052, 20.8905, 
0.270253, 2.60135, 23.6667, 
0.301843, -2.13183, -24.5423, 
0.33712, -1.34877, -25.4769, 
0.373476, 0.797514, 26.1367, 
0.406447, -0.378726, 26.7675, 
0.443149, 0.0811814, 27.4375, 
0.475411, 0.609122, 28.0849, 
0.51176, 1.26379, 28.7224, 
0.545569, -1.70684, 29.2079, 
0.581518, 2.09299, 29.6601, 
0.617461, 1.4218, 30.0496, 
0.650074, -2.75658, 30.4082, 
0.683636, -62, -62, 
0.719367, 3.04093, 30.7663, 
0.756647, -3.52853, 31.1704, 
0.790709, 3.91192, 31.465, 
0.823947, -2.82976, 31.8052, 
0.85924, 2.72538, 32.1557, 
0.893187, -2.82727, 32.3611, 
0.927114, -5.22687, 32.4524, 
0.963978, -62, -62, 
0.997183, -62, -62, 
1.03202, -5.35143, 32.4455, 
1.06663, 5.5874, -32.5041, 
1.10136, 5.90107, -32.6698, 
1.13762, 6.26243, -32.8004, 
1.17052, -6.66565, 33.0277, 
1.20526, -61.6754, -62, 
1.24104, -6.2258, 33.36, 
1.27492, 7.12247, 33.6535, 
1.31236, 7.46959, 33.9669, 
1.34429, 25.7993, -62, 
1.38181, -7.73074, 34.2007, 
1.41338, -7.98205, 34.448, 
1.44817, -8.08046, 34.6528, 
1.48599, 8.22853, 34.8321, 
1.51791, -8.27821, -34.8958, 
1.55414, -8.47838, -34.9662, 
1.58746, -8.52127, 35.0044, 
1.6218, -8.52759, 35.0702, 
1.6583, -61.4516, -62, 
1.69118, 62, -62, 
1.7264, 8.64828, 35.1327, 
1.76109, -60.273, -62, 
1.79647, -8.80703, 35.4479, 
1.83107, -62, -62, 
1.86437, -8.95258, 35.7325, 
1.8991, -9.05059, -36.0181, 
1.93468, 8.95466, 36.2479, 
1.97022, 61.9999, -62, 
2.00589, 62, -62, 
2.0403, -9.41046, 36.6499, 
2.07359, -9.60648, 37.2427, 
2.10725, -9.55042, 37.7976, 
2.14185, -9.66296, 38.4354, 
2.17864, -9.63293, 38.7562, 
2.21309, -9.57227, 38.9751, 
2.24625, -9.58979, 39.2148, 
2.28225, -9.53066, 39.3298, 
2.31964, -9.4717, 39.4446, 
2.35238, -9.47586, 39.5876, 
2.38543, -9.53759, 39.775, 
2.42247, -9.51818, 39.8429, 
2.45441, -9.61412, 39.9876, 
2.48997, -9.75855, 40.1124, 
2.52513, -9.84998, -40.1697, 
2.55976, 61.9985, -62, 
2.59334, -9.83029, 40.1662, 
2.62756, -62, -62, 
2.66499, -62, -62, 
