#ssr105
time, vl, vr, 
6.12741, 11.3379, 48.0298, 
6.16123, -62, -62, 
6.19758, -62, -62, 
6.23164, -62, -62, 
6.26601, -62, -62, 
6.30025, -62, -62, 
6.33496, -62, -62, 
6.37147, -62, -62, 
6.40401, 11.4691, 48.1067, 
6.43875, -62, -62, 
6.47724, 11.2447, 48.4355, 
6.50865, 11.0116, -41.252, 
6.54454, 10.6154, 49.1564, 
6.5778, 10.1939, -49.5786, 
6.61264, 9.95627, 49.9484, 
6.64703, 9.72797, 50.2988, 
6.6818, -9.50335, 50.6393, 
6.71899, -9.26982, 50.9891, 
6.75175, -9.14329, 51.1669, 
6.7867, -9.01231, 51.35, 
6.82216, -8.79441, 51.468, 
6.85532, -8.6412, 51.4472, 
6.8921, -8.436, 51.3965, 
6.92483, 8.22396, -51.3279, 
6.95978, 7.96641, -51.23, 
6.99478, -7.81226, 51.0493, 
7.0287, 7.5656, -51.1196, 
7.06866, -7.50139, 50.5338, 
7.09808, -7.39415, 50.9915, 
7.13314, 7.28469, -50.9896, 
7.16743, -7.1205, 51.0262, 
7.20318, 7.06511, -50.8995, 
7.23876, 7.00564, -50.9285, 
7.27183, -6.91596, 50.9295, 
7.30737, 6.86201, 50.9575, 
7.34082, 6.93593, -50.9915, 
7.37612, 6.84191, 51.0722, 
7.41296, -62, -62, 
7.4481, 6.86789, 51.1465, 
7.48055, 7.01602, -51.1561, 
7.51506, -62, -62, 
7.54929, 7.10116, -51.1222, 
7.58549, 7.25873, 51.1345, 
7.61898, 7.44206, 51.1075, 
7.65536, 7.56659, 51.2621, 
7.68843, 7.71937, 51.3535, 
7.724, 7.93223, 51.3404, 
7.76018, 8.18362, 51.2885, 
7.79224, -62, -62, 
7.83301, -62, -62, 
7.86168, -62, -62, 
7.89749, -62, -62, 
7.93351, -62, -62, 
7.96671, 8.42913, 51.2001, 
8.00379, 8.68019, 51.0958, 
8.03537, 8.77133, 51.1109, 
8.06981, 8.65643, -51.2946, 
8.1076, 8.65706, 51.3935, 
8.13961, 8.5531, 51.5544, 
8.17435, 8.52947, 51.7803, 
8.20886, 8.53347, -51.8524, 
8.24373, 8.48174, 51.9665, 
8.27944, 8.59122, -51.9518, 
8.3129, -62, -62, 
8.34843, -8.76599, 51.9834, 
8.38199, -62, -62, 
8.41745, 9.00388, 52.0588, 
8.45664, 9.18188, 52.0908, 
8.48633, 9.3118, 52.1145, 
8.52102, 9.41365, 52.183, 
8.55639, 9.52596, 52.1857, 
8.59052, 9.71658, 52.1157, 
8.62663, 9.91207, 52.0449, 
8.65965, -62, -62, 
8.69514, -62, -62, 
8.7292, -62, -62, 
8.76405, -62, -62, 
8.80207, -62, -62, 
8.83398, -62, -62, 
8.86896, -62, -62, 
8.91154, 10.0972, 51.9403, 
8.94097, 10.1421, 51.9312, 
8.97689, -10.0276, 52.042, 
9.00896, 9.83271, -52.1484, 
9.04416, 9.58194, -52.2319, 
9.07913, 9.34273, 52.313, 
9.11334, -9.20295, 52.4483, 
9.15249, -9.01044, 52.7692, 
9.18347, -8.94727, 52.8394, 
9.21787, -8.82004, 52.957, 
9.25106, -8.74054, 52.9381, 
9.28691, -8.52856, 52.999, 
9.32442, 8.29848, -52.9598, 
9.35588, 8.21853, -52.7933, 
9.39515, -8.0112, 52.5976, 
9.42543, -7.78348, 52.612, 
9.46068, -7.7792, 52.4833, 
9.49858, 7.70077, -52.2991, 
9.52766, -7.64236, 52.1626, 
9.56532, -7.56826, 51.9903, 
9.59739, -7.5696, 51.8914, 
9.63424, 7.49873, -51.7318, 
9.67033, 7.39589, -51.556, 
9.70196, -7.27732, 51.3851, 
9.73867, 7.2879, -51.2925, 
9.77113, -7.22602, 51.3057, 
9.80783, 7.23828, 51.2159, 
9.84631, 7.3259, 51.176, 
9.8747, 7.33239, 51.1101, 
9.91011, 7.3401, 51.03, 
9.94454, 7.39844, -50.9208, 
9.97984, 7.45599, 50.8126, 
10.0156, 7.65157, 50.6106, 
10.0492, -62, -62, 
10.0841, 7.84084, 50.5438, 
10.1182, -62, -62, 
10.1555, 8.12899, 50.3512, 
10.1885, 8.34094, 50.2164, 
10.2236, 8.59698, 50.0478, 
10.2562, 8.81405, 49.8895, 
10.2909, 9.01479, 49.7659, 
10.3267, -62, -62, 
10.3621, -62, -62, 
10.3952, -62, -62, 
10.4334, -62, -62, 
10.4646, -62, -62, 
10.4988, 9.30791, 49.5653, 
10.536, 9.55466, 49.366, 
10.5691, 9.66823, -49.2284, 
10.6048, 9.64324, -49.1772, 
