#ssr105
time, distance, theta, 
0, 2, 0, 
0.890132, 1.11718, -0.431096, 
0.974993, 1.11718, -0.431096, 
1.07814, 0.741712, -0.431096, 
1.17895, 0.774313, -0.42826, 
1.21882, 0.810129, -0.39139, 
1.32251, 0.712408, -0.35452, 
1.42379, 1.28368, -0.323322, 
1.46104, 0.634948, -0.328995, 
1.56305, 0.9929, -0.266599, 
1.66565, 1.11916, -0.249582, 
1.70007, 0.993205, -0.24391, 
1.73427, 1.28381, -0.311978, 
1.80347, 1.38863, -0.28078, 
1.91032, 1.28665, -0.130463, 
2.02084, 1.28752, -0.0964294, 
2.11725, 1.28786, -0.0850848, 
2.15493, 1.28867, -0.0623955, 
2.2559, 1.12347, -0.0567232, 
2.29, 1.12347, -0.0567232, 
2.32979, 1.12401, -0.0453786, 
2.43114, 0.898755, -0.0340339, 
2.53549, 0.818662, -0.017017, 
2.63764, 0.818662, -0.017017, 
2.67265, 0.751347, -0.0113446, 
2.70678, 1.12466, -0.0340339, 
2.81064, 1.12466, -0.0340339, 
2.84639, 1.12466, -0.0340339, 
2.88051, 1.12466, -0.0340339, 
2.98495, 1.29049, -0.0283616, 
3.02152, 1.12466, -0.0340339, 
3.12438, 1.12466, -0.0340339, 
3.22695, 1.12466, -0.0340339, 
3.26506, 1.12466, -0.0340339, 
3.36653, 1.12466, -0.0340339, 
3.40048, 1.12466, -0.0340339, 
3.43927, 1.12466, -0.0340339, 
3.53973, 1.12466, -0.0340339, 
3.57422, 1.12401, -0.0453786, 
3.68046, 1.12347, -0.0567232, 
3.78446, 0.997204, -0.0623955, 
3.8876, 1.12347, -0.0567232, 
3.9247, 1.12302, -0.0680678, 
4.02997, 1.12302, -0.0680678, 
4.13136, 0.996776, -0.0737402, 
4.23314, 0.996397, -0.0850848, 
4.33874, 1.0554, -0.087921, 
4.37391, 0.996055, -0.0964294, 
4.47697, 0.996055, -0.0964294, 
4.51287, 1.05507, -0.0992656, 
4.61607, 0.995743, -0.107774, 
4.65041, 0.995743, -0.107774, 
4.68489, 0.942893, -0.116283, 
4.79088, 1.05476, -0.11061, 
4.89319, 0.995456, -0.119119, 
4.92748, 0.99519, -0.130463, 
5.03122, 0.994941, -0.141808, 
5.06738, 0.994941, -0.141808, 
5.10114, 0.994707, -0.153153, 
5.20482, 0.892951, 0.272271, 
5.24075, 0.811371, 0.277944, 
5.27419, 0.742979, 0.306305, 
5.38264, 0.742722, 0.328995, 
5.48259, 0.742599, 0.340339, 
