#ssr105
time, vl, vr, 
0, 7.58, 7.59, 
0.468, -33.1, 33.1, 
0.642, -38.1, 38.1, 
0.814, 42.2, 42.2, 
0.991, 45.7, 45.7, 
1.16, -48.5, 48.5, 
1.34, 50.5, 50.8, 
1.51, 49.9, 52.8, 
1.68, -54.4, 54.4, 
1.86, -55.7, 55.7, 
2.03, -56.8, 56.8, 
2.2, 57.7, 57.7, 
2.38, 58.4, 58.4, 
2.55, -59.1, 59.1, 
2.72, -59.6, 59.6, 
2.9, 46.9, 64.8, 
3.07, 36.6, 69.9, 
3.24, 28.1, 74.3, 
3.42, 20.9, 78.1, 
3.59, 10.1, 81.2, 
3.77, -9.09, 83.8, 
3.94, 10.3, 85.2, 
4.11, 11.4, 85.8, 
4.29, 13.7, 85.7, 
4.46, 16.8, 85.1, 
4.63, 20.4, 84, 
4.81, -24.5, 82.6, 
4.98, -30.3, 79.7, 
5.15, 37.8, 74.2, 
5.33, 45.3, 67.5, 
5.5, 51.7, 61.5, 
5.68, 57.2, 56.2, 
5.85, 61.7, 51.1, 
6.02, 65.2, 46.3, 
6.2, 68, 41.4, 
6.37, 69.7, 36.6, 
6.54, 70, 31.7, 
6.71, 69.1, 26.5, 
6.89, 66.5, 20.8, 
7.06, -64, 15.9, 
7.24, -60.6, 10.5, 
7.41, -60.1, 5.36, 
7.58, -61, 0.224, 
7.76, -62.9, -4.89, 
7.93, -67.6, -8.98, 
8.1, -71.4, -12.3, 
8.28, -73.9, -15.6, 
8.45, -77, -17.9, 
8.62, -80.2, -18.9, 
8.8, 82.7, -19.9, 
8.97, 84.3, -19.3, 
9.14, 83.4, -15.5, 
9.32, 80.7, -8.51, 
9.49, -75.9, -2.49, 
9.67, -70.8, 2.66, 
9.84, -67.9, 7.77, 
10, 67.5, 10.3, 
10.2, 68.1, 12.4, 
10.4, -66.7, 13.5, 
10.5, 66.1, 14.4, 
10.7, -65.1, 14.3, 
10.9, 64.3, 13.3, 
11.1, 64.7, 13.1, 
11.2, 63.6, 12.3, 
11.4, -60.8, 10.4, 
11.6, -58.1, 8.25, 
11.7, 57.4, 6.39, 
11.9, 56.3, 4.48, 
12.1, -54.4, 3.33, 
12.3, -52.6, 2.71, 
12.4, 51.4, 1.11, 
12.6, 50.4, -0.158, 
12.8, -47.8, -1.53, 
13, -45.6, -1.92, 
13.1, -44.9, -1.12, 
13.3, -45.3, 0.464, 
13.5, 46.3, 0.917, 
13.7, -46.4, 1.09, 
13.8, -46, 0.673, 
14, 47.4, 0.29, 
14.2, 47.8, -0.154, 
14.3, -46.2, -0.792, 
14.5, -44.6, -0.275, 
14.7, -44.1, 0.215, 
14.9, 45.8, 1.3, 
15, -46.4, 2.01, 
15.2, -46.9, 2.6, 
15.4, 48.5, 2.69, 
15.6, 49.2, 2.4, 
15.7, -48.1, 2.06, 
15.9, -47, 1.11, 
16.1, 47, 0.0376, 
16.3, 47.4, -0.186, 
16.4, -45.4, -1.01, 
16.6, -43.9, -1.16, 
16.8, -43.5, -0.475, 
17, -43.1, 0.0907, 
17.1, 44.2, 0.994, 
17.3, -44.8, 2.15, 
17.5, -44.7, 2.17, 
17.6, 45.4, 1.56, 
17.8, -45.2, 1.07, 
18, 45.6, 1.02, 
18.2, -45.4, 0.624, 
18.3, 45.2, 0.295, 
18.5, -44.8, -0.633, 
18.7, -44.7, -0.752, 
18.9, 44.9, -1.2, 
19, -45.1, -0.455, 
19.2, -44.5, 0.0866, 
19.4, 45.7, 1.13, 
19.6, -46.3, 1.88, 
19.7, 46.5, 1.7, 
19.9, -47, 2.35, 
20.1, 46.8, 2.44, 
20.3, 46.4, 1.8, 
20.4, -45, 0.891, 
20.6, -44.1, 0.489, 
20.8, 43.6, -1.04, 
20.9, 44, -1.44, 
21.1, -43, -1.77, 
21.3, -42.4, -1.53, 
21.5, -42.7, -0.338, 
21.6, -43.5, 1.06, 
21.8, 45.2, 2.21, 
22, -45.9, 2.75, 
22.2, 46.5, 3.2, 
22.3, 47, 3.57, 
22.5, -46.1, 3.38, 
22.7, -45.6, 2.92, 
22.9, 46.1, 2.2, 
23, 46, 1.27, 
23.2, -44.9, 0.184, 
23.4, -44.3, -0.415, 
23.5, 44.2, -1.37, 
23.7, -44.2, -1.36, 
23.9, -44, -1, 
24.1, -44.3, -0.301, 
24.2, -45.2, 0.69, 
24.4, 47.5, 1.93, 
24.6, 48.7, 2.58, 
24.8, -47.8, 2.21, 
24.9, 47.6, 2.16, 
25.1, 48.2, 2.34, 
25.3, -47.8, 2.43, 
25.5, 47.2, 1.79, 
25.6, -46.7, 1.25, 
25.8, 46.1, 0.0156, 
26, -45.7, -1, 
26.1, 45.3, -1.88, 
26.3, -44.6, -1.98, 
26.5, -43.8, -1.89, 
26.7, 43.7, -1.43, 
26.8, -44, 0.635, 
27, -43.3, 1.34, 
27.2, -44.1, 2.43, 
27.4, 44.7, 2.14, 
27.5, 45.5, 2.68, 
27.7, -44.8, 2.67, 
27.9, -43.9, 2.13, 
28.1, 44.2, 1.21, 
28.2, 44.8, 1.13, 
28.4, -43.6, 0.353, 
28.6, -42.8, -0.562, 
28.8, -42.6, -1.01, 
28.9, -42.9, -1.07, 
29.1, 43.6, -0.57, 
29.3, -43.7, 0.437, 
29.4, -44.4, 1.71, 
29.6, 45.5, 1.92, 
29.8, 47, 2.74, 
30, -47.1, 3.58, 
30.1, -46.4, 3.07, 
30.3, 46.8, 2.34, 
30.5, 47.8, 2.09, 
30.7, 47.2, 1.49, 
30.8, -45.6, 0.592, 
31, -44.2, -0.783, 
31.2, 44.3, -0.876, 
31.4, -44, -0.606, 
31.5, -43.6, -0.0134, 
31.7, -43.7, 0.875, 
31.9, 44.7, 1.64, 
32.1, -44.8, 2.05, 
32.2, 45, 2.2, 
32.4, 44.9, 1.6, 
32.6, -44, 1.24, 
32.7, -43.1, 0.196, 
32.9, 43.6, -0.421, 
33.1, -42.8, -1.2, 
33.3, -41.9, -1.55, 
33.4, -42.1, -1.16, 
33.6, -43, 0.395, 
33.8, 45, 1.43, 
34, 46.4, 2.55, 
34.1, -46.2, 2.79, 
34.3, 46.7, 3.24, 
34.5, -47.2, 3.6, 
34.7, 46.7, 2.76, 
34.8, 46, 1.44, 
35, -44.6, 0.609, 
35.2, -42.9, -0.872, 
35.3, 42.5, -1.86, 
35.5, -42.1, -1.76, 
35.7, -41.6, -1.51, 
35.9, -42.6, 0.11, 
36, 43.8, 0.991, 
36.2, -44.2, 1.33, 
36.4, 45.1, 2.01, 
36.6, 45.5, 1.8, 
36.7, -44.8, 1.94, 
36.9, -43.6, 1.04, 
37.1, 43.5, 0.0115, 
37.3, -42.9, -1.12, 
37.4, -42.4, -2.07, 
