#ssr105
time, distance, theta, 
0, 0.710401, 0.592757, 
0.380319, 0.5898, 0.493492, 
0.456053, 0.683808, 0.436769, 
0.559072, 0.590482, 0.414079, 
0.661448, 0.658361, 0.394226, 
0.699256, 0.591035, 0.357356, 
0.799767, 0.591276, 0.334667, 
0.834402, 0.635075, 0.31765, 
0.872772, 0.592083, 0.266599, 
0.973896, 0.592233, 0.255254, 
1.00823, 0.592549, 0.232565, 
1.04572, 0.593261, 0.187187, 
1.14639, 0.593669, 0.164497, 
1.25099, 0.59389, 0.153153, 
1.28678, 0.59389, 0.153153, 
1.38939, 0.59389, 0.153153, 
1.42508, 0.59389, 0.153153, 
1.46056, 0.59389, 0.153153, 
1.56299, 0.637389, 0.158825, 
1.59911, 0.637389, 0.158825, 
1.63471, 0.614933, 0.155989, 
1.73739, 0.593669, 0.164497, 
1.77671, 0.593669, 0.164497, 
1.87903, 0.59389, 0.153153, 
1.9815, 0.555508, 0.14748, 
2.08559, 0.555508, 0.14748, 
2.18781, 0.594124, 0.141808, 
2.22515, 0.594124, 0.141808, 
2.32737, 0.637857, 0.136136, 
2.36292, 0.594373, 0.130463, 
2.46722, 0.556006, 0.124791, 
2.57039, 0.556006, 0.124791, 
2.60726, 0.59464, 0.119119, 
2.70874, 0.638391, 0.113446, 
2.74389, 0.594927, 0.107774, 
2.77912, 0.594927, 0.107774, 
2.8823, 0.556581, 0.102102, 
2.91737, 0.556581, 0.102102, 
2.95219, 0.595238, 0.0964294, 
3.05488, 0.595238, 0.0964294, 
3.09072, 0.595238, 0.0964294, 
3.12548, 0.59558, 0.0850848, 
3.22857, 0.557267, 0.0794125, 
3.334, 0.557267, 0.0794125, 
3.37638, 0.595959, 0.0737402, 
3.47176, 0.639777, 0.0680678, 
3.50922, 0.596387, 0.0623955, 
3.61143, 0.558127, 0.0567232, 
3.64602, 0.558127, 0.0567232, 
3.68041, 0.596881, 0.0510509, 
3.78532, 0.596881, 0.0510509, 
3.81982, 0.597469, 0.0397062, 
3.92305, 0.597469, 0.0397062, 
3.95998, 0.597469, 0.0397062, 
4.06212, 0.559317, 0.0340339, 
4.0972, 0.559317, 0.0340339, 
4.13415, 0.598208, 0.0283616, 
4.23598, 0.598208, 0.0283616, 
4.27219, 0.598208, 0.0283616, 
4.37735, 0.599229, 0.017017, 
4.48179, 0.599229, 0.017017, 
4.58291, 0.599229, 0.017017, 
4.61956, 0.599229, 0.017017, 
4.72386, 0.561464, 0.0113446, 
4.82497, 0.561464, 0.0113446, 
4.86482, 0.561464, 0.0113446, 
4.9649, 0.561464, 0.0113446, 
4.99914, 0.561464, 0.0113446, 
5.05153, 0.561464, 0.0113446, 
5.13813, 0.528286, 0.00567232, 
5.17426, 0.569312, 0, 
5.27979, 0.528286, 0.00567232, 
5.38056, 0.528286, 0.00567232, 
5.41541, 0.561464, 0.0113446, 
5.45002, 0.528286, 0.00567232, 
5.55438, 0.528286, 0.00567232, 
5.59539, 0.569312, 0, 
5.69407, 0.528286, 0.00567232, 
5.72815, 0.528286, 0.00567232, 
5.76771, 0.528286, 0.00567232, 
5.86863, 0.528286, 0.00567232, 
5.97101, 0.528286, 0.00567232, 
6.07523, 0.544323, 0.00850848, 
6.11238, 0.545906, 0.00283616, 
6.21384, 0.569312, 0, 
6.24961, 0.528286, 0.00567232, 
6.28429, 0.569312, 0, 
6.38687, 0.528286, 0.00567232, 
6.42277, 0.569312, 0, 
6.4583, 0.569312, 0, 
