#ssr105
time, vl, vr, 
0, 3.72955, 9.25313, 
0.0960917, 7.65937, 13.8701, 
0.135483, 9.20389, 15.7035, 
0.229573, 12.8608, 19.7974, 
0.265709, 14.1073, 21.054, 
0.295214, 15.1113, 22.1018, 
0.327075, 16.1405, 23.1345, 
0.362255, 17.2701, 24.3067, 
0.402844, 18.5605, 25.6833, 
0.432699, 19.4245, 26.5414, 
0.469621, -20.3109, 27.4865, 
0.502104, 21.0636, 28.2856, 
0.538321, 21.8771, 29.146, 
0.575791, 22.7991, 30.0206, 
0.607985, 23.522, 30.6829, 
0.640351, 24.2241, 31.3287, 
0.675144, 24.8529, 31.9784, 
0.712362, 25.3464, 32.539, 
0.746862, 25.7388, 32.966, 
0.781584, 26.1206, 33.3805, 
0.814023, -26.4501, 33.7539, 
0.85163, -26.7817, 34.0946, 
0.88344, 27.0197, -34.3071, 
0.922133, 27.2819, 34.5574, 
0.953301, 27.5637, 34.6975, 
0.990878, 62, -62, 
1.02226, 27.8561, 35.0118, 
1.05751, 27.9202, 35.1044, 
1.09507, -62, -62, 
1.12634, -62, -62, 
1.1626, 27.5695, 35.3234, 
1.19566, -62, -62, 
1.23433, 27.1716, 35.3768, 
1.26718, 27.0618, 35.3963, 
1.3032, 26.9561, 35.5147, 
1.33603, 26.8632, 35.6186, 
1.36983, 26.6951, 35.6784, 
1.40468, 62, -62, 
1.44136, 62, -62, 
1.47586, 26.0063, -35.6155, 
1.5081, 25.6211, 35.5142, 
1.54324, 25.1044, 35.4859, 
1.57779, 24.5123, -35.3739, 
1.61751, 23.8487, -35.2561, 
1.64656, 23.3605, -35.1295, 
1.68149, 22.7213, 34.9623, 
1.71602, 22.0619, 34.8383, 
1.7536, 21.2257, 34.5547, 
1.78778, 20.5023, 34.4108, 
1.82075, 19.8031, 34.1931, 
1.85527, 19.0705, 33.9434, 
1.88879, -18.3564, -33.723, 
1.92389, -17.6167, -33.4381, 
1.96002, -62, -62, 
1.99592, -62, -62, 
2.02766, -62, -62, 
2.06267, 14.7731, 32.4811, 
2.09705, 14.1243, 32.327, 
2.13507, 13.4968, 32.3442, 
2.16629, 13.0586, 32.4306, 
2.20103, 12.582, 32.5281, 
2.23589, 12.116, 32.6268, 
2.27204, 11.5938, 32.6376, 
2.30725, 11.0758, 32.6122, 
2.34121, 10.5681, 32.5567, 
2.3746, -2.45661, 32.5093, 
2.41028, -9.51631, -32.3633, 
2.44464, -62, -62, 
2.48226, -62, -62, 
2.51422, -62, -62, 
2.54862, 7.3369, 31.7718, 
2.58403, 6.84866, 31.7243, 
2.61956, 6.43079, 31.7914, 
2.65987, 5.95785, 31.8163, 
2.68869, 5.6462, 31.9155, 
2.72647, 5.23524, 31.9918, 
2.75831, 4.88978, 32.0145, 
2.79442, 4.51737, 32.0912, 
2.83033, 4.07659, 32.0249, 
2.86327, -3.69558, -31.9705, 
2.89847, -62, -62, 
2.93046, -62, -62, 
2.96716, -62, -62, 
3.00397, -2.05796, -31.8631, 
