#ssr105
time, vl, vr, 
0, 0.860273, 12.3057, 
0.0733447, 3.59393, 16.2166, 
0.0993402, 4.56943, 17.4235, 
0.132108, 5.7951, 18.8771, 
0.165349, 7.01953, 20.2817, 
0.199838, 8.26358, 21.6746, 
0.237167, 9.55094, 23.0379, 
0.268269, 10.5877, 24.1272, 
0.302504, 11.7453, 25.4227, 
0.337842, 12.8545, 26.5672, 
0.37253, 13.9067, 27.6493, 
0.409378, 14.9871, 28.7573, 
0.442781, 15.9315, 29.7236, 
0.476109, 16.8431, 30.6547, 
0.511765, 62, -62, 
0.545967, 17.6098, 31.4962, 
0.584762, 18.3839, 32.4732, 
0.618866, 18.9907, 33.5366, 
0.650006, 19.4246, 34.3743, 
0.68772, 19.9186, 35.1308, 
0.720189, 20.3324, 35.753, 
0.755431, 20.771, 36.4024, 
0.790081, 21.1205, 36.9589, 
0.823555, 21.3818, 37.4195, 
0.860493, 21.712, 37.8701, 
0.893399, 62, -62, 
0.931007, 62, -62, 
0.963084, 21.7333, 38.0343, 
0.996731, 62, -62, 
1.03318, 21.5595, 38.3604, 
1.06632, 62, -62, 
1.10662, -62, -62, 
1.13538, 62, -62, 
1.17278, 21.1954, -38.7069, 
1.20633, 20.7065, -38.8473, 
1.23949, 20.2844, -39.1305, 
1.27679, 19.7517, 39.4884, 
1.30888, 19.2473, 39.8258, 
1.34463, 18.664, 40.1187, 
1.37956, 18.1482, 40.4686, 
1.41483, 17.6219, 40.7303, 
1.44951, 17.1199, 40.9813, 
1.48462, 16.604, 41.1534, 
1.5172, 16.1104, 41.329, 
1.5537, 15.4803, 41.3267, 
1.58622, 14.9176, 41.2727, 
1.62282, 62, -62, 
1.65588, 62, -62, 
1.69195, 62, -62, 
1.72687, 62, -62, 
1.75986, 62, -62, 
1.79864, 62, -62, 
1.82927, 14.027, 41.2234, 
1.86691, 62, -62, 
1.89918, 62, -62, 
1.93515, 62, -62, 
1.9705, 62, -62, 
2.0045, 62, -62, 
2.03801, 62, -62, 
2.07292, 62, -62, 
2.1091, 62, -62, 
2.1438, 62, -62, 
2.17908, 62, -62, 
2.2112, 62, -62, 
2.24571, 62, -62, 
2.2815, 62, -62, 
2.31701, 62, -62, 
