#ssr105
time, vl, vr, 
0, 5.83072, 14.3672, 
0.0960011, 5.54834, -18.7279, 
0.126073, -62, -62, 
0.156786, -5.21391, -19.7448, 
0.193286, 4.75735, -20.8446, 
0.223064, -4.44768, 21.7502, 
0.25961, 3.85229, 22.5946, 
0.294067, -61.9993, -62, 
0.327272, 3.74527, 23.5495, 
0.363716, 61.9964, -62, 
0.396493, -44.3724, -62, 
0.434434, -3.17647, -24.3914, 
0.46721, 2.76527, 25.1469, 
0.50228, 2.39805, 25.9798, 
0.535618, -2.1345, 26.7059, 
0.569204, -1.7669, 27.4141, 
0.606327, 1.21353, -28.2598, 
0.641636, 0.713791, -28.8647, 
0.673791, -0.305588, 29.3405, 
0.70804, -0.0442207, 29.9349, 
0.74243, -0.299022, -30.4802, 
0.783519, 0.780781, -31.0707, 
0.811947, -1.10419, 31.4605, 
0.848802, -1.45155, 31.999, 
0.881317, -1.69866, 32.495, 
0.917261, -0.303122, 32.9739, 
0.952435, -2.26024, -33.2884, 
0.986264, -0.798263, 33.5792, 
1.02356, 2.7596, 33.8472, 
1.05495, -3.00967, 34.1382, 
1.09269, 61.9906, -62, 
1.12597, -3.37395, -34.4404, 
1.16052, -3.73847, 34.7448, 
1.19473, -3.98866, 35.1144, 
1.22871, -4.1356, 35.5417, 
1.26509, -62, -62, 
1.29935, -4.37715, 35.8801, 
1.33383, -4.57299, 36.1426, 
1.37006, -4.73099, 36.3435, 
1.4037, -4.87269, 36.5231, 
1.4393, -4.93954, 36.59, 
1.47416, -5.1212, 36.7344, 
1.50624, 2.21433, 36.8631, 
1.54137, -5.58599, -37.0874, 
1.57588, -5.87282, 37.3009, 
1.61151, -62, -62, 
1.64845, -5.90508, -37.3418, 
1.68229, -6.08675, 37.4274, 
1.71544, -62, -62, 
1.7501, -6.11149, -37.5018, 
1.78542, -6.3457, 37.5862, 
1.82249, -62, -62, 
1.85447, 6.57317, -37.7702, 
1.89002, 6.84226, -37.9688, 
1.9246, 7.0375, 38.0949, 
1.96079, 7.37941, 38.4227, 
1.99381, -7.67262, -38.9207, 
2.02812, -7.96663, 39.4176, 
2.06705, 62, -62, 
2.09729, 4.7521, -39.7107, 
2.13413, -8.36358, 40.0556, 
2.16866, -8.60204, 40.4365, 
2.20228, -8.73762, 40.86, 
2.23592, 9.00534, 41.2705, 
2.27063, -9.36993, -41.6057, 
2.31033, -8.39814, -41.8977, 
2.34158, -9.77159, 41.9966, 
2.37678, -9.83389, -42.1044, 
2.41139, 9.83066, 42.0895, 
2.44438, -9.92425, 42.2268, 
2.47955, -62, -62, 
2.51519, -8.54624, -42.431, 
2.54985, -10.0936, -42.4939, 
2.58282, -10.2866, -42.5517, 
2.6193, 10.4723, 42.7489, 
2.65347, -62, -62, 
2.68895, -61.6594, -62, 
2.72301, 10.5987, 42.9562, 
2.75647, 10.7589, 43.1233, 
2.79264, 11.075, -43.4061, 
2.82581, 11.3054, -43.5912, 
2.86384, -11.6163, -43.8715, 
2.89851, -11.8005, 44.182, 
2.93117, -11.8056, 44.3852, 
2.96579, 9.89561, -44.7067, 
3.00029, 62, -62, 
3.03708, -12.2204, -44.9352, 
3.07116, -12.3844, 45.2007, 
3.10595, -12.2742, 45.5471, 
3.14036, -62, -62, 
3.17362, -12.3479, 46.0462, 
3.21061, -12.3019, 46.3345, 
3.24509, -12.303, 46.6659, 
3.27825, -12.3041, 46.8751, 
3.31532, -12.3979, 47.1468, 
3.35023, -12.391, 47.252, 
3.3813, -12.419, 47.3187, 
3.41494, -12.5822, 47.4925, 
3.44915, -12.6437, 47.5317, 
3.48411, 62, -62, 
3.51856, -12.8802, -47.6439, 
3.55593, -13.1371, 47.7622, 
3.59011, -13.4199, 48.0306, 
3.62297, -12.8382, 48.1227, 
3.65788, 13.4426, 48.3035, 
3.69174, -13.5098, -48.2901, 
