#ssr105
time, vl, vr, 
0, 14, 1.09, 
0.464, 39.2, 26.1, 
0.642, 44.3, 31.4, 
0.814, 48.1, 35.8, 
0.991, 51.3, 39.6, 
1.16, 53.7, 42.7, 
1.34, 55.7, 45.5, 
1.51, 57.3, 47.7, 
1.68, 58.3, 49.6, 
1.86, 59.2, 51.2, 
2.03, 59.8, 52.4, 
2.2, 59.8, 53, 
2.38, 59.6, 53.1, 
2.55, -58.1, 51.6, 
2.72, 56.4, 48.1, 
2.9, 55.3, 43.1, 
3.07, 53.2, 37.6, 
3.24, 49.5, 31.3, 
3.42, 46, 25.1, 
3.59, 44.6, 19.5, 
3.76, -44, 14.1, 
3.94, -44.8, 8.82, 
4.11, -48.2, 3.74, 
4.29, -54.8, -0.561, 
4.46, -62, -3.42, 
4.63, 68.3, -4.71, 
4.81, 73, -4.16, 
4.98, 75.4, -0.544, 
5.15, 75.5, 5.96, 
5.33, 73.7, 14.6, 
5.5, 71.6, 22.6, 
5.67, 69.2, 30, 
5.85, 66, 37, 
6.02, -62.5, 43.7, 
6.19, 60.4, 48.3, 
6.37, 59.2, 51.9, 
6.54, 58.2, 54.9, 
6.71, 57.1, 57.5, 
6.89, -55.5, 60, 
7.06, 54.4, 61.7, 
7.23, 53.7, 63.3, 
7.41, 31, 65.2, 
7.58, -50.8, 66.7, 
7.76, 50.6, 66.8, 
7.93, 51.1, 66.8, 
8.1, -50.5, 67.1, 
8.28, 50.8, 66.5, 
8.45, 51.4, 65.5, 
8.62, 51.5, 64.9, 
8.8, -44.1, 64.6, 
8.97, 49.7, 62.4, 
9.14, -48.6, 59.7, 
9.32, -47.7, 57.4, 
9.49, -46.6, 54.6, 
9.66, -38.5, 52.2, 
9.84, 45.7, 49.4, 
10, -43.8, 46.6, 
10.2, -44, 42.7, 
10.4, -42.2, 40, 
10.5, 30.6, 38.6, 
10.7, -39.3, 37.4, 
10.9, -37.2, 34.6, 
11.1, -36.1, 32.6, 
11.2, 34.6, 31.5, 
11.4, -33.4, 31.8, 
11.6, -32.2, 30.2, 
11.7, -31.3, 28.7, 
11.9, -30.6, 27.4, 
12.1, 30.8, 27.4, 
12.3, 25.1, 28.5, 
12.4, -26.4, 30.1, 
12.6, -24.1, 29.8, 
12.8, -23, 29.8, 
13, -22, 29.9, 
13.1, -20.4, 32.5, 
13.3, -17.8, 35.4, 
13.5, -15.5, 38, 
13.7, -13.9, 40.8, 
13.8, -12, 44.6, 
14, -10.3, 47.7, 
14.2, 9.7, 51.8, 
14.3, 7.53, 55, 
14.5, 4.76, 60.6, 
14.7, 1.46, 66.7, 
14.9, -1.71, 71.1, 
15, -3.21, 74.7, 
15.2, -2.61, 77.3, 
15.4, -0.461, 78.7, 
15.6, 3.7, 78.9, 
