#ssr105
time, vl, vr, 
0, -6.97329, -1.85727, 
0.0920691, 9.47286, -2.6873, 
0.182542, -11.1057, -2.85814, 
0.213398, -11.2587, -2.84736, 
0.256128, -12.1583, -2.79852, 
0.285083, -12.5112, -2.74899, 
0.319511, -12.8881, -2.67689, 
0.353426, -13.2643, -2.5953, 
0.386943, 13.5946, -2.50699, 
0.422065, 13.9267, -2.40835, 
0.455257, 14.2452, -2.24307, 
0.489838, 14.4253, -2.07055, 
0.526254, 14.892, -1.84762, 
0.55959, 1.8865, -1.60585, 
0.593957, 15.4784, -1.40492, 
0.630415, 15.6817, -1.21795, 
0.663896, -3.47427, -1.01473, 
0.700345, -16.0013, -0.826796, 
0.740957, 16.1401, -0.626386, 
0.767514, 16.271, -0.511271, 
0.805401, -16.4675, -0.309992, 
0.838134, 16.5657, -0.16708, 
0.874564, -16.4965, -0.0139519, 
0.906641, -16.7627, 0.115401, 
0.94099, 16.8526, 0.248955, 
0.976142, 16.9851, 0.393636, 
1.01074, -17.0519, 0.544371, 
1.047, -16.2553, 0.668609, 
1.081, 17.309, 0.815348, 
1.11501, 17.4535, 0.948659, 
1.14952, 16.8941, 1.07946, 
1.18598, -17.6766, 1.18361, 
1.22024, 17.7422, 1.27765, 
1.25348, 17.8039, 1.36555, 
1.28878, -17.8679, 1.45559, 
1.32401, 16.455, 1.54207, 
1.35889, 17.9662, 1.6245, 
1.39409, -18.0324, 1.67238, 
1.42674, -18.0844, 1.74509, 
1.46178, -18.0812, 1.79375, 
1.49769, -18.137, 1.86905, 
1.53167, -3.83772, 1.93761, 
1.5686, -18.23, 2.0095, 
1.60155, -18.2879, 2.07117, 
1.63483, -18.3331, 2.13132, 
1.67046, -18.38, 2.1935, 
1.70422, -18.4537, 2.26404, 
1.74215, -18.5522, 2.31952, 
1.7744, 18.6172, 2.3358, 
1.80941, -18.7183, 2.41946, 
1.84342, 18.8149, 2.49805, 
1.87805, 18.8438, 2.54571, 
1.91542, -18.3836, 2.5619, 
1.9473, -18.8841, 2.60366, 
1.98302, -18.9116, 2.6489, 
2.01686, -18.9366, 2.69018, 
2.05258, -18.9597, 2.73223, 
2.08791, -18.9725, 2.74091, 
2.12132, -14.5728, 2.79263, 
2.15559, -19.0613, 2.76628, 
2.19043, -19.0812, 2.71358, 
2.22577, -19.1307, 2.67244, 
2.26164, -19.1488, 2.62141, 
2.29654, -19.165, 2.59495, 
2.33073, -19.3011, 2.57015, 
2.36452, -19.3557, 2.54671, 
2.39866, -19.4401, 2.52402, 
2.43621, -19.5117, 2.50013, 
2.46894, -19.5099, 2.48026, 
2.50458, -19.6371, 2.45949, 
2.53851, -19.7128, 2.47008, 
2.57357, -19.7722, 2.49914, 
2.60929, 19.8058, 2.49572, 
2.64195, 19.7225, 2.52216, 
2.67918, 14.1545, 2.55143, 
2.71279, -19.9129, 2.5962, 
2.74699, 19.9037, 2.64015, 
2.78238, -19.8946, 2.68399, 
2.81743, -19.886, 2.7258, 
2.85115, -19.878, 2.76456, 
2.88479, -19.6629, 2.80185, 
2.92117, -19.8625, 2.84077, 
2.95582, -19.8413, 2.84527, 
2.99072, -19.8073, 2.82063, 
3.02352, -19.7763, 2.7983, 
3.06036, -19.7706, 2.74174, 
3.09357, -19.7932, 2.70326, 
3.13007, -19.8455, 2.67468, 
3.16484, 18.4511, 2.64854, 
