#ssr105
time, distance, theta, 
0, 1.12135, -0.124791, 
0.382235, 1.11965, -0.215548, 
0.487884, 0.993366, -0.232565, 
0.590823, 1.11932, -0.238237, 
0.629691, 0.99305, -0.255254, 
0.730217, 0.9929, -0.266599, 
0.765249, 0.9929, -0.266599, 
0.801281, 1.28422, -0.277944, 
0.904813, 1.8604, -0.289288, 
1.00843, 1.8604, -0.289288, 
1.04528, 2, 0, 
1.14605, 2, 0, 
1.18327, 2, 0, 
1.28478, 2, 0, 
1.32064, 2, 0, 
1.35495, 2, 0, 
1.95873, 2, 0, 
2.04804, 2, 0, 
2.08585, 3.92527, 0.85652, 
2.18744, 3.92504, 0.901899, 
2.22595, 3.9251, 0.890554, 
2.32659, 2, 0, 
2.36546, 3.92539, 0.833831, 
2.46601, 3.92539, 0.833831, 
2.56908, 3.92539, 0.833831, 
2.60737, 2, 0, 
2.70798, 3.92551, 0.811142, 
2.74583, 2.46264, 0.805469, 
2.84717, 3.92558, 0.799797, 
2.88501, 2, 0, 
2.98564, 2.99445, 0.89339, 
3.02347, 2, 0, 
3.12482, 3.9251, 0.890554, 
3.159, 2, 0, 
3.26187, 2, 0, 
3.29532, 2, 0, 
3.33184, 3.92545, 0.822486, 
3.37079, 3.92527, 0.85652, 
3.47314, 3.92577, 0.765763, 
3.57826, 2, 0, 
3.68019, 2, 0, 
3.78377, 2, 0, 
3.81819, 2, 0, 
3.85401, 2, 0, 
3.95902, 2, 0, 
3.99843, 3.9251, 0.890554, 
4.09868, 3.9251, 0.890554, 
4.2, 2, 0, 
4.23862, 2, 0, 
4.34048, 3.92638, 0.663661, 
4.94612, 0.681187, 0.822486, 
5.53441, 0.892278, -0.328995, 
5.62248, 0.742247, -0.374373, 
5.65817, 0.742247, -0.374373, 
5.69367, 0.634825, -0.340339, 
5.79716, 0.635075, -0.31765, 
5.83449, 0.591798, -0.289288, 
5.9357, 0.591938, -0.277944, 
5.97068, 0.553512, -0.272271, 
6.00863, 0.519762, -0.232565, 
6.10975, 0.536638, -0.218384, 
6.14611, 0.46229, -0.164497, 
6.24884, 0.438413, -0.102102, 
6.35162, 0.415803, -0.0850848, 
6.38998, 0.406811, 0, 
6.49082, 0.377638, 0.0283616, 
6.52902, 0.323035, 0.136136, 
6.63048, 0.28001, 0.232565, 
6.73605, 0.266511, 0.340339, 
6.8385, 0.223883, 0.363028, 
6.87524, 0.223035, 0.453786, 
7.47932, 3.93192, 0.141808, 
7.56812, 1.28451, 0.255254, 
7.6718, 1.28467, 0.24391, 
7.77688, 1.05234, 0.241074, 
7.87991, 0.993205, 0.24391, 
7.98336, 1.51431, 0.238237, 
8.08762, 1.28483, 0.232565, 
8.12203, 1.11932, 0.238237, 
8.16034, 1.86115, 0.232565, 
8.26143, 1.86132, 0.22122, 
8.29642, 1.86149, 0.209876, 
8.40004, 1.86149, 0.209876, 
8.43583, 2.4677, 0.215548, 
8.53939, 2.46788, 0.204204, 
8.64346, 1.86149, 0.209876, 
8.74739, 2.46788, 0.204204, 
8.852, 1.51482, 0.204204, 
8.88801, 1.38976, 0.201367, 
8.99087, 1.28554, 0.187187, 
9.09569, 1.5154, 0.17017, 
9.69878, 2, 0, 
9.78774, 2, 0, 
9.82155, 2.46217, -0.896227, 
9.85603, 3.92533, 0.845176, 
9.96152, 2, 0, 
9.99465, 2, 0, 
10.0338, 2, 0, 
10.1349, 3.9251, 0.890554, 
10.1739, 3.9251, 0.890554, 
10.2745, 3.9251, 0.890554, 
10.3778, 2, 0, 
10.4124, 3.93069, 0.209876, 
10.4487, 3.93069, 0.209876, 
10.5515, 3.92515, 0.87921, 
10.5863, 3.92504, 0.901899, 
10.6234, 3.93106, 0.187187, 
10.7278, 2, 0, 
10.829, 3.93147, 0.164497, 
10.864, 6.17748, 0.138972, 
10.9666, 3.93192, 0.141808, 
11.0044, 3.92533, 0.845176, 
11.1072, 3.93217, 0.130463, 
11.1477, 3.92545, 0.822486, 
11.2459, 2.46258, 0.816814, 
11.3501, 6.17093, 0.825323, 
11.3842, 3.93338, 0.0850848, 
11.4208, 2, 0, 
11.5225, 6.17112, 0.791289, 
11.5619, 3.93703, 0.017017, 
11.6615, 3.93887, -0.00567232, 
11.6991, 2, 0, 
11.8011, 2, 0, 
11.8355, 2, 0, 
12.4409, 2, 0, 
12.5288, 6.17335, -0.462294, 
12.5651, 2.46493, -0.46513, 
12.6691, 3.92769, -0.482147, 
12.7737, 6.17298, -0.507673, 
12.8787, 3.92751, -0.504836, 
12.982, 2.46447, -0.521853, 
13.0851, 3.92742, -0.516181, 
13.1234, 2.46456, 0.510509, 
13.2273, 1.2819, 0.516181, 
13.3297, 1.51159, 0.499164, 
13.4349, 1.28208, 0.493492, 
13.5361, 1.28217, 0.482147, 
13.5705, 1.28217, 0.482147, 
13.6046, 1.11688, 0.46513, 
13.7084, 2.46483, 0.476475, 
13.7461, 1.28256, 0.436769, 
13.8495, 1.28276, 0.414079, 
13.9528, 1.85908, 0.414079, 
14.056, 1.28297, 0.39139, 
14.0926, 1.85964, 0.357356, 
14.1959, 1.11794, 0.351684, 
14.2998, 1.28355, 0.334667, 
14.3364, 1.11831, 0.31765, 
14.4386, 1.11844, 0.306305, 
14.4806, 1.11872, 0.283616, 
14.5774, 0.9929, 0.266599, 
14.6159, 0.89325, 0.249582, 
14.7185, 0.893572, 0.226893, 
14.8219, 0.89392, 0.204204, 
14.9269, 0.813102, 0.164497, 
15.0293, 0.745888, 0.124791, 
15.1339, 0.746463, 0.102102, 
15.2368, 0.746463, 0.102102, 
15.2722, 0.68949, 0.0737402, 
15.375, 0.639777, 0.0680678, 
15.4104, 0.596881, 0.0510509, 
15.5164, 0.558663, 0.0453786, 
15.6182, 0.495103, 0.0226893, 
15.7244, 0.469693, 0.00567232, 
15.8265, 0.469693, -0.00567232, 
15.8671, 0.39767, -0.0226893, 
15.9675, 0.359125, -0.0340339, 
16.0704, 0.297002, -0.0567232, 
16.1755, 0.219583, -0.0737402, 
16.7808, 0.302093, 0.765763, 
17.3683, 1.27993, 0.822486, 
17.4579, 1.27975, 0.85652, 
17.563, 1.28018, 0.777108, 
17.6653, 0.988984, 0.731729, 
17.703, 1.85756, 0.606938, 
17.8046, 1.51116, 0.555887, 
17.8415, 1.51197, 0.453786, 
17.9424, 1.85908, 0.414079, 
17.9783, 1.85941, 0.380045, 
18.0129, 1.51357, 0.294961, 
18.1162, 1.51385, 0.272271, 
18.152, 1.86099, 0.24391, 
18.1863, 1.86186, 0.187187, 
18.2894, 1.5154, 0.17017, 
18.3243, 1.50923, 0.873537, 
18.3588, 1.51725, 0.0907571, 
18.4629, 1.86499, 0.0623955, 
18.4979, 1.52051, 0.0226893, 
18.533, 1.52051, -0.0226893, 
18.6385, 1.86499, -0.0623955, 
19.2427, 0.810587, 0.346012, 
19.3337, 0.635921, 0.249582, 
19.4387, 0.636242, 0.226893, 
19.5438, 0.59289, 0.209876, 
19.6479, 0.520673, 0.175842, 
19.7497, 0.49044, 0.14748, 
19.857, 0.463547, 0.107774, 
19.9612, 0.395168, 0.0680678, 
20.0677, 0.359125, 0.0340339, 
20.1685, 0.315196, -0.00567232, 
20.2735, 0.249582, -0.0567232, 
20.3764, 0.209864, -0.102102, 
20.9816, 0.484121, -0.816814, 
21.5696, 0.63659, 0.204204, 
21.6566, 0.686991, 0.175842, 
21.6915, 0.744948, 0.17017, 
21.7259, 0.686991, 0.175842, 
21.8305, 0.686991, 0.175842, 
21.8662, 0.63697, 0.181514, 
21.9691, 0.686792, 0.187187, 
22.0065, 0.74455, 0.192859, 
22.1075, 0.74455, 0.192859, 
22.1432, 0.74455, 0.192859, 
22.2468, 0.686603, 0.198531, 
22.2842, 0.714278, 0.20704, 
22.3848, 0.744364, 0.204204, 
22.4211, 0.686603, 0.198531, 
22.5253, 0.744364, 0.204204, 
22.6296, 0.686421, 0.209876, 
22.7333, 0.744187, 0.215548, 
22.8357, 0.744187, 0.215548, 
22.8792, 0.744187, 0.215548, 
22.9764, 0.744187, 0.215548, 
23.0797, 0.744187, 0.215548, 
23.183, 0.744187, 0.215548, 
23.2203, 0.812323, 0.209876, 
23.3237, 0.812505, 0.198531, 
23.4268, 0.74455, 0.192859, 
23.4618, 0.812505, 0.198531, 
23.5685, 0.74455, 0.192859, 
23.6701, 0.812694, 0.187187, 
23.773, 0.812694, 0.187187, 
23.8121, 0.812893, 0.175842, 
23.9138, 0.812893, 0.175842, 
24.0166, 0.812893, 0.175842, 
24.0509, 0.812893, 0.175842, 
24.0861, 0.744948, 0.17017, 
24.1906, 0.894719, 0.158825, 
24.2947, 0.813323, 0.153153, 
24.3988, 0.813323, 0.153153, 
24.5024, 0.813323, 0.153153, 
24.5382, 0.813323, 0.153153, 
24.6426, 0.813323, 0.153153, 
24.7454, 0.813323, 0.153153, 
24.7799, 0.813557, 0.141808, 
24.8846, 0.813557, 0.141808, 
24.919, 0.813806, 0.130463, 
25.0232, 0.813806, 0.130463, 
25.0573, 0.814072, 0.119119, 
25.0954, 0.81436, 0.107774, 
25.197, 0.814671, 0.0964294, 
25.3005, 0.814671, 0.0964294, 
25.3406, 0.815013, 0.0850848, 
25.4405, 0.815013, 0.0850848, 
25.5434, 0.747149, 0.0794125, 
25.5818, 0.747149, 0.0794125, 
25.6827, 0.747149, 0.0794125, 
25.718, 0.68949, 0.0737402, 
25.8212, 0.68949, 0.0737402, 
25.8564, 0.68949, 0.0737402, 
25.8937, 0.639375, 0.0794125, 
25.9957, 0.595959, 0.0737402, 
26.1006, 0.59558, 0.0850848, 
26.2038, 0.557267, 0.0794125, 
26.3085, 0.557267, 0.0794125, 
26.411, 0.522793, 0.0850848, 
26.517, 0.49184, 0.0907571, 
26.6189, 0.4642, 0.0850848, 
26.724, 0.463858, 0.0964294, 
26.7585, 0.438739, 0.0907571, 
26.7941, 0.438413, 0.102102, 
26.8979, 0.374356, 0.107774, 
27.001, 0.484121, 0.816814, 
27.1072, 0.309049, 0.107774, 
27.2108, 0.282387, 0.107774, 
27.8157, 2, 0, 
27.9032, 2, 0, 
27.9368, 2, 0, 
27.9715, 2, 0, 
28.0765, 2, 0, 
28.1132, 2, 0, 
28.2154, 2, 0, 
28.2538, 2, 0, 
28.3542, 2, 0, 
28.39, 2, 0, 
28.4931, 2, 0, 
28.5284, 2, 0, 
28.5629, 2, 0, 
28.6661, 2, 0, 
28.7002, 2, 0, 
28.7361, 2, 0, 
28.8387, 2, 0, 
28.876, 2, 0, 
28.9787, 2, 0, 
29.0145, 2, 0, 
29.1172, 2, 0, 
29.1557, 2, 0, 
29.2556, 2, 0, 
29.2931, 2, 0, 
29.3947, 2, 0, 
29.4291, 2, 0, 
29.9683, 2, 0, 
30.0547, 2, 0, 
30.0925, 2, 0, 
30.1956, 2, 0, 
30.2984, 2, 0, 
30.3325, 2, 0, 
30.3672, 3.92597, 0.731729, 
30.4719, 3.92597, 0.731729, 
30.5757, 6.17141, 0.740238, 
30.6098, 3.92597, 0.731729, 
30.6447, 6.17138, 0.74591, 
30.7493, 2, 0, 
30.7865, 6.17219, 0.615447, 
30.8897, 2.46222, 0.884882, 
30.991, 3.9251, 0.890554, 
31.0304, 3.9261, 0.70904, 
31.1312, 2, 0, 
31.2356, 6.17066, -0.876373, 
31.3385, 2, 0, 
31.3744, 3.92631, 0.675006, 
31.41, 3.92631, 0.675006, 
31.5126, 6.17182, 0.67217, 
31.5468, 2, 0, 
31.5847, 1.8559, 0.890554, 
31.6863, 1.50917, 0.884882, 
31.7222, 2.46217, 0.896227, 
31.8274, 2.46382, 0.612611, 
31.9299, 3.92515, 0.87921, 
32.0337, 2, 0, 
32.0697, 2, 0, 
32.1721, 2.46217, 0.896227, 
32.2146, 2.46217, 0.896227, 
32.3131, 2.46217, 0.896227, 
32.415, 2, 0, 
32.4538, 3.92521, 0.867865, 
32.5537, 2, 0, 
32.6572, 2, 0, 
33.1932, 2, 0, 
33.2823, 2, 0, 
33.3188, 2, 0, 
33.4239, 2, 0, 
33.5243, 2, 0, 
33.5588, 2, 0, 
33.593, 2, 0, 
33.6987, 2, 0, 
34.3048, 2, 0, 
34.3913, 2, 0, 
34.4257, 3.92849, -0.39139, 
34.4605, 3.92839, -0.402735, 
34.4977, 2.46554, -0.397062, 
34.6025, 3.92849, -0.39139, 
34.7064, 2.46565, -0.385718, 
34.8107, 2.46565, -0.385718, 
34.9149, 3.9286, -0.380045, 
35.0175, 3.9286, -0.380045, 
35.0564, 2, 0, 
35.1566, 3.92883, -0.357356, 
35.2643, 2.99822, -0.35452, 
35.3647, 2.46599, -0.351684, 
35.4031, 2.46611, -0.340339, 
35.5042, 2.46611, -0.340339, 
35.6073, 3.92907, -0.334667, 
35.6475, 2, 0, 
35.7459, 3.92539, 0.833831, 
35.8537, 2.4624, 0.850848, 
35.9554, 1.85608, 0.85652, 
36.059, 2.46649, -0.306305, 
36.0976, 2.46636, -0.31765, 
36.1987, 2.46636, -0.31765, 
36.3021, 2.46623, -0.328995, 
