#ssr105
time, vl, vr, 
0, -7.59, 7.59, 
0.467, -33, 33, 
0.642, -37.2, 38.1, 
0.814, 41.9, 42.2, 
0.991, 45.2, 45.7, 
1.16, -48.5, 48.5, 
1.34, -50.8, 50.8, 
1.51, 36.9, 58.5, 
1.71, 23.8, 66.9, 
1.89, -13.5, 73.2, 
2.06, -6.92, 77.9, 
2.24, 4.3, 81, 
2.41, 4.27, 73.5, 
2.58, 5.55, 83.7, 
2.76, 7.76, 83.8, 
2.93, -10.8, 83, 
3.1, -14.8, 80.5, 
3.28, -21.1, 76.3, 
3.45, -26.8, 69.9, 
3.63, 33.2, 61.8, 
3.8, 39.8, 53.3, 
3.97, -44.5, 45.1, 
4.15, -49.2, 36.3, 
4.32, -54, 26.5, 
4.49, -60, 16.5, 
4.67, -68.3, 6.8, 
4.84, -67.9, 15.2, 
5.01, -69.7, 19.3, 
5.19, 72.6, 19.9, 
5.36, 75.1, 20.2, 
5.54, 76.5, 21.6, 
5.71, -77.1, 24, 
5.88, 77.8, 25.6, 
6.06, -78.7, 26, 
6.23, -79.7, 25.7, 
6.4, 81.7, 22.3, 
6.58, 83.5, 18.9, 
6.76, -84.7, 17.3, 
6.92, 85.6, 15.6, 
7.1, 86.6, 13.3, 
7.27, -86.9, 12.7, 
7.44, -86.8, 12.4, 
7.62, -87.8, 9.49, 
7.79, -89.2, 4.16, 
7.97, 21.1, -2.36, 
8.14, -0.962, -8.04, 
8.31, -93.6, -12.5, 
8.48, 94.8, -16.6, 
8.66, -95.7, -19.4, 
8.83, 96.2, -21, 
9.01, -96.5, -21.3, 
9.18, -96.4, -20.3, 
9.35, 96.7, -20.6, 
9.53, 96.8, -20.5, 
9.7, -97.3, -22.5, 
9.88, -97.3, -23.6, 
10, 97.5, -24.7, 
10.2, 97.2, -25.3, 
10.4, -95.5, -22.3, 
10.6, -93.6, -18.4, 
10.7, -92.7, -15.4, 
10.9, 92.6, -13.8, 
11.1, 92.3, -12, 
11.3, 91.1, -7.54, 
11.4, 88.3, -0.49, 
11.6, 83.8, 8.07, 
11.8, 78, 16.5, 
12, 71.3, 24, 
12.1, -64.1, 30.3, 
12.3, 57.6, 33.7, 
12.5, 50.1, 36.4, 
12.6, -47.3, 37.4, 
12.8, 41.8, 35.2, 
13, 37.4, 33.4, 
13.2, 32.9, 30.8, 
13.3, 27.4, 25.9, 
13.5, 22.8, -21.8, 
13.7, -18.7, -18.5, 
13.9, -15.3, -15.9, 
14, 12.3, -14.1, 
14.2, -9.53, -12.8, 
14.4, 6.9, -12.2, 
14.6, -4.36, -12, 
14.7, -1.94, -12.2, 
