#ssr105
time, distance, theta, 
0, 2, 0, 
0.407938, 2, 0, 
0.491881, 2, 0, 
0.5996, 2, 0, 
0.695884, 2, 0, 
0.735904, 2, 0, 
0.834288, 2, 0, 
0.869376, 2, 0, 
0.906865, 2, 0, 
1.00797, 2, 0, 
1.04367, 2, 0, 
1.14752, 2, 0, 
1.18138, 2, 0, 
1.22241, 2, 0, 
1.32441, 2, 0, 
1.4261, 3.92933, -0.311978, 
1.53024, 2, 0, 
1.63356, 2, 0, 
1.66862, 3.9292, -0.323322, 
1.77507, 2, 0, 
1.87642, 2, 0, 
1.9143, 2, 0, 
2.01454, 2, 0, 
2.05267, 2, 0, 
2.15355, 2, 0, 
2.18992, 2, 0, 
2.29257, 2, 0, 
2.33012, 2, 0, 
2.4323, 2, 0, 
2.53485, 2, 0, 
2.57167, 2, 0, 
2.67461, 2, 0, 
2.71182, 2, 0, 
2.81389, 2, 0, 
2.91949, 2, 0, 
3.02292, 2, 0, 
3.12566, 2, 0, 
3.16148, 2, 0, 
3.26508, 2, 0, 
3.30023, 2, 0, 
3.40173, 2, 0, 
3.43782, 2, 0, 
3.47502, 2, 0, 
3.57727, 2, 0, 
3.61108, 2, 0, 
3.64911, 2, 0, 
3.74909, 2, 0, 
3.78967, 2, 0, 
3.88936, 2, 0, 
3.99367, 2, 0, 
4.02833, 2, 0, 
4.06692, 2.4633, -0.692023, 
4.16629, 2.4633, -0.692023, 
4.20296, 1.51032, -0.680678, 
4.30766, 1.28079, -0.675006, 
4.41135, 1.1154, -0.669334, 
4.51545, 1.28094, -0.652317, 
4.61788, 1.11554, -0.646644, 
4.6557, 1.11585, -0.601266, 
4.75674, 1.11593, -0.589921, 
4.79302, 0.990096, -0.56156, 
4.89602, 0.99035, -0.527526, 
4.99879, 1.11651, -0.510509, 
5.03741, 0.990708, -0.482147, 
5.13819, 0.990897, -0.459458, 
5.17625, 0.991404, -0.402735, 
5.27703, 0.992092, -0.334667, 
5.38243, 0.893098, -0.260927, 
5.48585, 0.893408, -0.238237, 
5.52432, 0.894504, -0.17017, 
5.62482, 0.814671, -0.0964294, 
5.72853, 0.815392, -0.0737402, 
5.76415, 0.818662, -0.017017, 
5.86921, 0.816902, 0.0397062, 
5.97076, 0.748009, 0.0567232, 
6.0133, 0.746165, 0.113446, 
